Tipo de transporte: Nivel 1;Tipo de transporte: Nivel 2;Tipo de transporte: Nivel 3;Tipo de transporte: Nivel 4;Tipo de transporte: Nivel 5;Viajeros y tasas;Periodo;Total
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M12;197.079
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M11;219.723
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M10;215.862
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M09;193.819
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M08;133.592
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M07;167.137
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M06;182.190
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M05;175.821
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M04;160.544
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M03;168.829
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M02;140.165
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2021M01;127.773
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M12;150.765
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M11;147.808
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M10;158.651
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M09;144.277
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M08;107.325
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M07;135.105
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M06;106.783
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M05;47.803
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M04;22.208
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M03;126.030
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M02;270.169
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2020M01;265.570
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M12;256.168
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M11;275.451
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M10;298.456
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M09;255.762
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M08;184.739
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M07;243.190
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M06;259.186
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M05;278.675
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M04;254.938
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M03;278.258
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M02;255.689
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2019M01;261.494
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M12;250.940
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M11;269.992
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M10;284.390
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M09;245.138
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M08;182.986
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M07;234.583
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M06;257.957
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M05;271.553
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M04;261.477
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M03;258.125
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M02;244.499
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2018M01;252.364
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M12;237.972
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M11;263.278
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M10;268.569
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M09;242.257
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M08;180.978
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M07;226.857
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M06;253.678
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M05;268.154
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M04;234.914
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M03;275.373
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M02;241.457
Total de viajeros;Transporte urbano;;;;Viajeros transportados;2017M01;239.894
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M12;88.717
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M11;98.191
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M10;97.063
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M09;91.739
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M08;70.872
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M07;81.502
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M06;81.422
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M05;77.522
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M04;69.359
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M03;72.804
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M02;58.594
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2021M01;53.084
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M12;65.040
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M11;63.386
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M10;70.046
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M09;66.902
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M08;55.440
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M07;65.007
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M06;46.187
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M05;20.571
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M04;10.160
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M03;59.301
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M02;119.722
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2020M01;115.431
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M12;114.328
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M11;121.477
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M10;133.766
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M09;120.128
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M08;98.912
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M07;120.202
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M06;118.815
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M05;125.092
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M04;116.141
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M03;125.869
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M02;112.964
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2019M01;112.582
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M12;110.100
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M11;118.319
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M10;128.165
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M09;117.494
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M08;96.523
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M07;115.100
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M06;119.380
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M05;120.601
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M04;117.000
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M03;112.745
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M02;106.975
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2018M01;108.381
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M12;105.656
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M11;116.049
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M10;121.644
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M09;113.867
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M08;93.280
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M07;111.528
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M06;115.452
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M05;117.633
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M04;105.746
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M03;118.587
Total de viajeros;Transporte interurbano regular;;;;Viajeros transportados;2017M02;105.473
